"municipio","valor","unidade","rotas_descritas","evidencia","confianca","erro"
"Barros Cassal","vermelho","semáforo (verde/vermelho)","N/A","Seções mencionam 'Rotas de fuga', 'Áreas de evacuação' e 'Pontos de encontro', mas o texto apresenta apenas a lista de itens (Posto de Comando; Área de espera; Áreas de evacuação; Rotas de fuga; Pontos de encontro; Abrigos) e abrigos com endereços (Ex.: Ginásio Municipal — Plano A; Salão Paroquial — Plano B), sem descrição de trajeto por ruas nomeadas nem mapa de rotas específico.","alta",""
"Barão de Cotegipe","vermelho","semáforo (verde/vermelho)","N/A","Documentos listam ações gerais como ""remover pessoas de áreas de risco"" e ""isolar áreas afetadas e definir perímetros de ação (zonas quentes/mornas/frias)"" e itens operacionais (avisos, alarmes, acionamento de recursos), mas não indicam ruas nomeadas nem trajeto até ponto de encontro específico.","alta",""
"Barão do Triunfo","verde","semáforo (verde/vermelho)","Linha amarela marcada como ""Rota de saída"" no mapa temático e na planta urbana inset, conectando áreas de risco ao ponto de encontro/local seguro indicado (mapa mostra rota nomeada/identificada visualmente ligando áreas urbanas e abrigos).","Legenda do mapa: ""Linha tracejada amarela mostrando a designada 'Rota de saída' (evacuação/exit route)"" e descrição: ""Yellow dashed line showing the designated \""Rota de saída\"" (evacuation/exit route)."" [ref_id:0][ref_id:0]","media",""
"Barão","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação específico com ruas nomeadas; o documento menciona apenas procedimentos genéricos (ex.: ""fechamento de vias, abrigo emergencial"", ""pelas vias principais"" não aparece literalmente) e lista de abrigos com capacidade e locais (ex.: ""Centro de Convivência"", ""Ginásio Municipal"") e anexos de mapas de áreas de risco, sem rotas nominadas.","alta",""
"Boa Vista do Cadeado","vermelho","semáforo (verde/vermelho)","N/A","O documento lista 'Lista de Abrigos' com endereços (Ginásio Municipal; Salão do Parque de exposições) e instruções genéricas como 'Remover e dirigir pessoas para casas de familiares ou, se necessário, para abrigos' e 'controlar o trânsito e garantir transporte coletivo em áreas não inundadas', mas não descreve trajetos de evacuação especificando ruas/vias nomeadas ligando área de risco a ponto de encontro.","alta",""
"Boa Vista do Incra","vermelho","semáforo (verde/vermelho)","N/A","12. ROTAS DE FUGA E PONTOS DE ENCONTRO: ""Não se fez necessária a elaboração de rotas de fuga específicas para o município de Boa Vista do Incra, considerando que a área urbana é de pequena extensão e facilmente acessível em sua totalidade.""","alta",""
"Bom Princípio","vermelho","semáforo (verde/vermelho)","N/A","Documento contém listas de hidrantes, mapas de risco e tabelas de localidades e pontos de referência, mas não descreve trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; exemplos de conteúdo: ""Relação dos Hidrantes distribuídos pelo Município""; mapa: ""Cartografia de Risco Geológico — Mapa Índice""; tabela com localidades e referências como ""em frente à escola"" ou ""Ao lado do hospital"" (sem indicar rotas específicas). [ref_id:3][ref_id:4][ref_id:0]","alta",""
"Bom Retiro do Sul","vermelho","semáforo (verde/vermelho)","N/A","""As rotas de fuga são todas no sentido contrário à direção da margem esquerda do Rio Taquari, utilizando várias ruas."" [ref_id:0]","alta",""
"Brochier","vermelho","semáforo (verde/vermelho)","N/A","O documento lista evacuação e alojamento em abrigos e casas de parentes, e contém um ""Mapa da cidade de Brochier com abrigos, Brigada Militar, Posto de Saúde e Prefeitura"" nos anexos, mas não descreve trajetos específicos com ruas nomeadas ligando áreas de risco a pontos de encontro (ex.: ""pela Rua X até a Escola Y""). Trechos: ""5.3 – Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."" [ref_id:3][ref_id:4] e ""Anexo B - Mapa da cidade de Brochier com abrigos, Brigada Militar, Posto de Saúde e Prefeitura."" [ref_id:12][ref_id:13]","alta",""
"Butiá","vermelho","semáforo (verde/vermelho)","N/A","No documento há procedimentos de evacuação e indicação de pontos de encontro e abrigos, mas não há descrição de trajetos específicos com ruas nomeadas ligando áreas de risco a pontos de encontro; por exemplo: ""Apoiar na remoção dos moradores para o ponto de encontro e abrigo."" [ref_id:6] e o Anexo I lista ABRIGOS com endereços (ex.: ""ABRIGO I - GINÁSIO MUNICIPAL GASTÃO HOFF"") [ref_id:10][ref_id:11], enquanto o texto descreve evacuação genérica: ""Acionamento dos meios de transportes para evacuação da área (caminhões e ônibus)"" [ref_id:4].","alta",""
"Cacequi","verde","semáforo (verde/vermelho)","Evacuação organizada pela COMPDEC com pontos de encontro e áreas de evacuação pré‑definidos; rotas/movimentação indicadas ""Área de espera"" e ""Pontos de encontro"" a serem estabelecidos no Posto de Comando da Coordenação Municipal de Proteção e Defesa Civil ou local definido pela COMPDEC; referências a trajetos específicos ligados a abrigos/pontos: direcionamento de evacuados para Ginásio de Esporte Dirceu Andrade Caputti, Escola Municipal Débora Conceição e Escola Municipal São Luiz Gonzaga.","“Área de espera” e “Pontos de encontro”, a serem estabelecidos na Coordenação Municipal de Proteção e Defesa Civil ou local definido pela COMPDEC conforme a urgência”[ref_id:21] ; lista de abrigos/pontos prioritários: “Ginásio de Esporte Dirceu Andrade Caputti; Escola Municipal Débora Conceição; Escola Municipal São Luiz Gonzaga”[ref_id:17]","media",""
"Cachoeira do Sul","vermelho","semáforo (verde/vermelho)","N/A","""preparação de abrigos e rotas de fuga""; não há trechos que descrevam trajeto específico com ruas nomeadas ligando área de risco a ponto de encontro nem mapas de rotas explícitos nos trechos recuperados","alta",""
"Cachoeirinha","vermelho","semáforo (verde/vermelho)","N/A","“As ÁREAS DE EVACUAÇÃO serão planejadas sempre que houver a necessidade da evacuação de urgência.” [ref_id:3]","alta",""
"Cacique Doble","vermelho","semáforo (verde/vermelho)","N/A","Não há no documento trajetos de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; o plano lista ações de evacuação, abrigos com endereços e recursos, mas sem descrição de rotas específicas: ""5.3 - Evacuação; assistência as vítimas com cadastramento via Secretaria Municipal da Assistencia Social e alojamento em abrigos e casas de parentes""[ref_id:3][ref_id:9] e lista de abrigos com endereços (ex.: ""Ginásio Municipal de Esportes Frei Bruno Fardo, Avenida Guarani""; ""CTG Rincão dos Coroados, Rua Getúlio Guimarães""; ""Esporte Clube Internacional, Avenida Kaingang"")[ref_id:7].","alta",""
"Camaquã","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos... Abrigo I Identificação: GINÁSIO MUNICIPAL DE ESPORTE WADISLAU NIEMXESKI Endereço: Av. Ernani Silveira, 590, bairro Olaria; Abrigo II ... Endereço: Rua João de Oliveira,57, Centro; Abrigo III ... Endereço: Rua João de Oliveira, 30, centro de Camaquã","alta",""
"Camargo","vermelho","semáforo (verde/vermelho)","N/A","O documento lista cenários de risco, ações por evento, infraestrutura e abrigos (ex.: ""ações — limpeza de drenos e vias, abrigos emergenciais""; ""dois abrigos (Ginásio Sílvio Bernardon e Ginásio Parque de Rodeios)""), mas não descreve trajetos de evacuação com ruas nomeadas ou mapas de rotas específicos.","alta",""
"Campo Bom","vermelho","semáforo (verde/vermelho)","N/A","O documento descreve procedimentos de alerta, ativação do plano, critérios de mobilização, áreas de atuação das secretarias e lista de responsabilidades, mas não apresenta trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a pontos de encontro ou mapa de rotas definido (ex.: ""ruas a serem definidas"" ou referências genéricas a área de espera e abrigos) — trechos exemplares: ""Estabelecer uma área de espera e designar um encarregado""; ""Promover a organização SCO (Seção de Comando de Operações), da área de espera, os abrigos e os recursos de socorro.""","alta",""
"Campos Borges","vermelho","semáforo (verde/vermelho)","N/A","""5.2 Retirar e encaminhar as pessoas para abrigos""; lista de abrigos com endereços (ex.: ""Abrigo I ... Endereço: Rua Vicente Palotti ..."", ""Abrigo II ... Endereço: Rua Ipiranga"", ""Abrigo III ... Endereço: Rua. Hilário Tura"")","alta",""
"Candelária","vermelho","semáforo (verde/vermelho)","N/A","""Sempre que houver necessidade de evacuação de urgência, serão estabelecidas as rotas de acordo com o evento."" [ref_id:5]","alta",""
"Canguçu","vermelho","semáforo (verde/vermelho)","N/A","Seção '7. ABRIGOS' lista abrigos com endereços (ex.: 'ABRIGO – 1 • Nome: Ginásio Municipal Conrado Ernani Bento • Endereço: Rua Teofilo de Souza Matos S/n, bairro Vila Isabel, Canguçu-RS') e o documento refere-se a 'vias principais' ou rotas a serem definidas de acordo com o evento em outros trechos; não há descrição de trajeto de evacuação específico com ruas/vias nomeadas ligando área de risco a ponto de encontro.","alta",""
"Canoas","verde","semáforo (verde/vermelho)","Lista de vias principais sugeridas como rotas de escoamento/evacuação: BR-116; BR-448; RS-118 / Avenida 17 de Abril; Avenida Boqueirão; Avenida Rio Grande do Sul; Avenida Farroupilha; Avenida Acucena; Avenida Santos Ferreira; além de acesso estratégico ao base de apoio via Avenida Farroupilha, Avenida Boqueirão, Avenida Açucena / Avenida Getúlio Vargas e RS-118 (Avenida 17 de Abril).","Título da seção: ""10- ROTAS DE ESCOAMENTO DO TRÂNSITO IDENTIFICADAS EM CADA ÁREA DE RISCO"" seguido de lista com vias: ""BR-116 (...)""; ""BR-448 (...)""; ""RS-118 or associated avenues (ex: Avenida 17 de Abril)""; ""Avenida Boqueirão""; ""Avenida Rio Grande do Sul""; ""Avenida Farroupilha""; ""Avenida Acucena""; ""Avenida Santos Ferreira""; e em trecho de ""Acessos estratégicos"": ""Avenida Farroupilha – main arterial road; Avenida Boqueirão – evacuation route...; Avenida Açucena / Avenida Getúlio Vargas...; RS-118 (Eixo Avenida 17 de Abril) – important intermunicipal connection, ideal for quick escape routes."" [ref_id:2][ref_id:4]","alta",""
"Canudos do Vale","vermelho","semáforo (verde/vermelho)","N/A","A evacuação: ... A evacuação poderá ser auxiliada por: líderes comunitários, NUPDECs, agentes comunitários de Saúde, além de voluntários. Se for necessário, haverá o emprego de força de segurança pública – Polícia Militar.","alta",""
"Capela de Santana","vermelho","semáforo (verde/vermelho)","N/A","No documento há apenas indicação de áreas de risco genéricas, lista de abrigos com endereços (ex.: CRAS, Av. Coronel Orestes Lucas, nº 2720) e menção a avisos por rádio/auto de som e 'vias principais', sem descrição de trajetos nominais ligando origem a ponto de encontro (não há frases como 'pela Rua X até a Escola Y')","alta",""
"Capitão","verde","semáforo (verde/vermelho)","1) Linha Marinheira e Cascata: Estrada principal de Linha Marinheira sentido à Sede → Rua 20 de Março → Rua Balduino Blatt → Ginásio Municipal; Ponto de Encontro: Capela de Linha Marinheira. 2) São Jacó / Linha Alegre: Estrada principal de São Jacó sentido à Sede → Rua Miguel Hunhoff → Rua Balduino Blatt → Ginásio Municipal; Ponto de Encontro: Salão comunitário de Linha São Jacó. (rota alternativa para Linha Alegre: Estrada Linha Alegre → Estrada Geral → Rua Leopoldo Gasparotto → Rua 20 de Março → Rua Balduino Blatt → Ginásio Municipal). 3) Linha Bicudo: Estrada Bicudo sentido à sede → Estrada Picada São Paulo → Rua Miguel Hunhoff → Rua Balduino Blatt → Ginásio Municipal; Ponto de Encontro: Igreja da comunidade de Bicudo. 4) Bairro Imigrante / Centro: Rua Balduino Blatt → Ginásio Municipal; Ponto de Encontro: Praça central. 5) Alto Palmas: Estrada Alto Palmas sentido à sede → Escola Alto Palmas ou Ginásio; Ponto de Encontro: Igreja Alto Palmas.","""Rota: Estrada principal de Linha Marinheira sentido a Sede Rua 20 de Março — Rua Balduino Blatt — Ginásio Municipal. Ponto de Encontro: Capela de Linha Marinheira"" [ref_id:8][ref_id:10]","alta",""
"Capão Bonito do Sul","vermelho","semáforo (verde/vermelho)","N/A","5.1 Reunir as pessoas atingidas pelo evento climático em um abrigo. (seções 4 e 5 descrevem áreas de risco e ações, mas não indicam ruas nomeadas ou trajeto até ponto de encontro)","alta",""
"Capão do Cipó","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS Identificação: Ginásio Escola Municipal Júlio Biasi Endereço: Rua Rufino Garcia dos Santos s/n","alta",""
"Capão do Leão","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas; o documento apresenta recursos, contatos, setores de risco e mapas anexos, mas não descreve rotas específicas do tipo ""pela Rua X até o ponto de encontro Y"".","alta",""
"Carazinho","vermelho","semáforo (verde/vermelho)","N/A","""Estabelecimento de rotas de fuga e abrigos temporários""; lista de abrigos temporários com endereços (ex.: ""Ginásio da Acapesu — Endereço: Boa Vista, Carazinho - RS"")","alta",""
"Carlos Gomes","vermelho","semáforo (verde/vermelho)","N/A","Não há trechos que descrevam um trajeto de evacuação com ruas nomeadas; o documento lista ações genéricas (ex.: ""Realizar a remoção de pessoas das áreas de risco"", ""Garantir o restabelecimento das vias de acesso"") e abrigo com endereço (ex.: ""Ginásio Municipal ... Av. Padre Estevão Vonsoski, 383""), mas não indica rota definida entre área de risco e ponto de encontro.","alta",""
"Casca","vermelho","semáforo (verde/vermelho)","N/A","""a evacuação das áreas afetadas sempre pela principais ruas e avenidas a serem definidas de acordo com a magnitude do evento adverso""","alta",""
"Caseiros","vermelho","semáforo (verde/vermelho)","N/A","O documento lista abrigos com endereços (ex.: ""Centro Esportivo Municipal - Avenida Mário Cirino Rodrigues, 355""; ""Escola João Rodrigues de Souza - Rua José Francisco Mendes, 312""), e descreve ações genéricas como ""pelas vias principais"" ou atividades de resposta, sem indicar trajetos de evacuação específicos ou ruas nomeadas ligando áreas de risco a pontos de encontro.","alta",""
"Centenário","vermelho","semáforo (verde/vermelho)","N/A","5.3 Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes.","alta",""
"Cerrito","verde","semáforo (verde/vermelho)","A listagem indica vias nomeadas em áreas de risco ligadas à área atingida (ex.: ATERRO DA PONTE (PONTE ATÉ O TRILHO DO TREM) — RUA JOSÉ VAZ DE SOUZA (BAIRRO SÃO MIGUEL), RUA MIGUEL IRIGON (BAIRRO SÃO MIGUEL), RUA ALCIDES NUNES (BAIRRO SÃO MIGUEL), RUA IRAI SOARES (BAIRRO SÃO MIGUEL), RUA FRANQUILIN SOARES (BAIRRO SÃO MIGUEL), AV BENTO GONÇALVES, ALMIRANTE AMEDA PORTOS, PRAÇA LUIS SIQUEIRA, LARGO CANGUÇU, AVENIDA FLORES DA CUNHA (entre nº 240 a 330), BAIRRO OASIS OLARIAS (rua direção ao Passo Novo)","""ATERRO DA PONTE (PONTE ATÉ O TRILHO DO TREM)\n\nRUA JOSÉ VAZ DE SOUZA (BAIRRO SÃO MIGUEL)\n\nRUA MIGUEL IRIGON (BAIRRO SÃO MIGUEL)\n\nRUA ALCIDES NUNES (BAIRRO SÃO MIGUEL)\n\nRUA IRAI SOARES (BAIRRO SÃO MIGUEL)\n\nRUA FRANQUILIN SOARES (BAIRRO SÃO MIGUEL)\n\nAV BENTO GONÇALVES\n\nALMIRANTE AMEDA PORTOS\n\nPRAÇA LUIS SIQUEIRA\n\nLARGO CANGUÇU\n\nAVENIDA FLORES DA CUNHA ENTRE OS Nº 240 A 330\n\nBAIRRO OASIS OLARIAS (RUA DIREÇÃO AO PASSO NOVO)""","alta",""
"Cerro Branco","vermelho","semáforo (verde/vermelho)","N/A","Não há trechos que descrevam um trajeto de evacuação com vias nomeadas; o documento traz seção ""Lista De Abrigos"" com endereço de abrigo (RUA OSCAR LAMB - CENTRO) e referências genéricas a monitoramento e ações, sem indicação de rota definida entre área de risco e ponto de encontro.","alta",""
"Cerro Grande do Sul","vermelho","semáforo (verde/vermelho)","N/A","As áreas de evacuação serão planejadas de acordo com a magnitude e evolução do evento, e sempre que houver a necessidade de evacuação de urgência, devendo ser estabelecidas as rotas de acordo com o evento.","alta",""
"Charqueadas","verde","semáforo (verde/vermelho)","Descrição do Anexo II e mapas indicam setores e ruas específicas como áreas de risco e trajetos de evacuação — ex.: ""Setor RS_CH_SR_010_Bairro São Miguel - Rua Limeira""; ""Setor RS_CH_SR_02_Bairro Beira Rio - Rua Ricardo Louzada""; e indicação de ligações entre setores e pontos de encontro/abrigo conforme mapas (rotas/linhas no mapa anexado).","Descrição das áreas de muito alto risco: 3 - Setor RS_CH_SR_010_Bairro São Miguel - Rua Limeira[ref_id:24] / Descrição das áreas de alto risco: 1 - Setor RS_CH_SR_02_Bairro Beira Rio - Rua Ricardo Louzada[ref_id:24] / Imagens de mapa com setores e caminhos (Anexo II – Áreas de Risco) mostrando rotas/linhas ligando áreas de risco a pontos seguros[ref_id:25][ref_id:24]","media",""
"Charrua","vermelho","semáforo (verde/vermelho)","N/A","CLASSIFICAÇÃO DO RISCO - 1 Tipo de Risco: Enxurradas Histórico da recorrência: Eventuais, Rua Luiz Caus.","media",""
"Chuvisca","vermelho","semáforo (verde/vermelho)","N/A","LISTA DOS ABRIGOS ... Endereço: av 28 de dezembro, s/n Centro ... EMEF Santa Luzia Endereço: Picada Grande, RS KM 30 ... EMEF Arlindo Bonifácio Pires Endereço: Costa do Sutil, S/N Interior","alta",""
"Chuí","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos ... Abrigo I Identificação: CENTRO COMUNITARIO Endereço: AIRTON SENA N° 300","alta",""
"Ciríaco","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento apresenta ações gerais, contatos, locais de doações e procedimentos de alerta, sem indicar rota específica (ex.: ""Ações a serem desenvolvidas: ...""; listas de pontos sensíveis e abrigos sem rotas).","alta",""
"Colinas","vermelho","semáforo (verde/vermelho)","N/A","a evacuação... pelas principais ruas e avenidas a serem definidas de acordo com a magnitude do evento adverso","alta",""
"Colorado","vermelho","semáforo (verde/vermelho)","N/A","Fuga (evacuação) — Acionamento da equipe responsável por guiar a população para o ponto de encontro. Ponto de Encontro: para os desabrigados/desalojados abrigo 01 (Ginásio do Centro Social e Esportivo); Lista de abrigos com endereços (ex.: Abrigo 01: Avenida Boa Esperança, n. 692 - Centro; Abrigo 03: Rua do Estudante, n. 68, Vila Padre Osmari).","alta",""
"Coqueiro Baixo","vermelho","semáforo (verde/vermelho)","N/A","Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes.","alta",""
"Coxilha","vermelho","semáforo (verde/vermelho)","N/A","O documento apresenta uma ""LISTA DE ABRIGOS"" com endereços (ex.: ""Avenida Ilso José Webber"", ""Avenida Fioravante Franciosi"") e descreve procedimentos gerais de evacuação/ativação do plano (ex.: ""O COMPDEC ativará o plano de chamada, o posto de comando e a compilação das informações""; ""Atuar na busca, salvamento e evacuação das pessoas atingidas pelo desastre""), mas não cita trajetos específicos com ruas nomeadas ligando áreas de risco a pontos de encontro nem mapas de rotas definidos.","alta",""
"Cristal","vermelho","semáforo (verde/vermelho)","N/A","Na prática do Plano de Contingência, ao identificar os riscos de alagamentos e as cheias do Rio Camaquã, deve ser feita a retirada das famílias que estão expostas ao risco, bem como realoca-las em um dos abrigos cadastradas no Plano de Contingência.","alta",""
"Cruz Alta","vermelho","semáforo (verde/vermelho)","N/A","13. LISTA DE ABRIGOS ... Identificação: Ginásio Municipal Endereço: Rua General Osório 963","alta",""
"Cruzeiro do Sul","verde","semáforo (verde/vermelho)","Exemplos de trajetos/ruas nomeadas ligadas a cotas/ordem de retirada: ""COTA 24: rua Arno Cíceri, fim (empresa das gramas) até o número 344""; ""COTA 25: rua Arno Cíceri, esquinas com a rua Jorge Cíceri e com a rua Lauro Antonio Zwirtes""; lista de logradouros por cotas incluindo ruas como Rua Visconde do Rio Branco (início, esquina com Dom Pedro II), rua João Schardong, rua das Águas, rua das Pedras, rua Eugênio Floriano Sehn (a partir do nº 158), rua Frederico Germano Haenssgen, rua Oscar de Castro, rua Emílio Treter Sobrinho, rua Arthur Andres, rua Afonso Dullius, entre outras, indicando ordem de retirada correlacionada a cotas de inundação.","""Tabela orientativa para ordem de retirada das famílias\nPREVISÃO Logradouro BAIRRO\nCOTA 24 rua Arno Cíceri, fim (empresa das gramas) até o número 344 Zwirtes""; ""COTA 25\nrua Arno Cíceri, esquinas com a rua Jorge Cíceri e com a rua Lauro Antonio Zwirtes""; ""COTA 26\nrua Arno Cíceri Zwirtes\nrua Emílio Treter Sobrinho, nº 1559 até a ponte Glucostark\nrua São José, início (Lebes) Centro\nRua Arthur Eckert Glucostark\nrua Lauro Antônio Zwirtes Zwirtes\nrua Otávio Francisco da Silva Zwirtes\nrua Oscar de Castro Glucostark""","alta",""
"David Canabarro","vermelho","semáforo (verde/vermelho)","N/A","Documentos descrevem ações gerais de remoção de pessoas de áreas de risco, isolamento de perímetro, listas de contatos, cenários de risco e endereços de abrigos/contatos, mas não citam trajeto(s) de evacuação específicos com ruas nomeadas ou mapa de rotas (ex.: ""pela Rua X até..."")","alta",""
"Dilermando de Aguiar","vermelho","semáforo (verde/vermelho)","N/A","Retirar e encaminhar as pessoas para abrigos; Elaborar planejamento e modificações, tais como rotas, sinalização, etc. em locais vulneráveis ou em evolução; Lista de Abrigos SEDE (endereços de abrigos como Ginásio Escola Estadual Rocha Vieira - 15 de Novembro s/n; CAP Centro de Apoio Pedagógico - Rua Mauricio Picantet).","alta",""
